Time	Protractor	Sampled
0.0367107	0	0.47
0.0734214	1	0.41
0.1101321	2	0.68
0.1468428	3	1.04
0.1835535	5	1.84
0.2202642	7	2.51
0.2569749	8	4
0.2936856	9	4.86
0.3303963	10	6.67
0.367107	12	7.81
0.4038177	15	4.88
0.4405284	18	8.53
0.4772391	20	8.94
0.5139498	25	13.9
0.5506605	30	17
0.5873712	35	28.7
0.6240819	38	23.1
0.6607926	42	30.5
0.6975033	46	33.1
0.734214	51	38.8
0.7709247	55	44.6
0.8076354	60	47.2
0.8443461	65	52.8
0.8810568	70	55.5
0.9177675	76	62.9
0.9544782	80	67.3
0.9911889	83	69.4
1.0278996	86	73.8
1.0646103	89	78.8
1.101321	91	89.4
1.1380317	93	90.4
