X,Y,Z
2.754109, -5.791414, 1.912900
3.484197, -5.737147, 0.786157
3.324079, -6.429792, 2.592853
3.663577, -6.534390, 3.165380
3.523671, -6.586199, 3.595080
4.181078, -6.275802, 4.041871
3.587332, -6.578981, 8.183844
3.763462, -6.266907, 9.407025
4.041102, -6.453749, 13.049715
4.044861, -6.879364, 14.176458
4.060049, -6.381956, 18.270821
3.740158, -7.006330, 14.310739
4.591976, -6.848918, 21.376385
3.910754, -7.464783, 22.722861
4.214629, -6.475833, 24.950713
4.015381, -6.854883, 29.198889
3.746579, -7.061296, 31.819819
4.352792, -6.191790, 39.698477
3.803965, -6.847050, 44.513077
4.499173, -6.910906, 46.259957
4.217884, -7.011682, 48.108158
4.928506, -6.857548, 49.936827
4.611418, -7.094302, 57.190466
4.079870, -7.217313, 61.956236
4.330298, -7.594911, 67.122410
4.215659, -7.410118, 73.306681
4.199145, -7.086232, 76.567278
4.097187, -7.167930, 76.891995
4.232443, -6.469260, 78.056581
4.291529, -7.408736, 84.139531
4.459070, -7.388575, 88.185064
4.771722, -7.910444, 91.791131
4.093595, -7.161794, 91.194189
4.515560, -7.449818, 98.449049
4.656513, -7.796310, 101.010163
4.572057, -7.532997, 103.784906
4.545565, -7.563250, 98.356273
4.328827, -7.433318, 99.202246
4.139990, -7.389054, 103.573717
4.585995, -8.031038, 107.533799
4.458166, -7.378536, 109.391766
4.453491, -7.483142, 114.653157
4.475089, -7.295273, 121.433149
5.033701, -7.521627, 127.276833
4.764860, -7.216748, 129.208045
4.323361, -7.650615, 134.007996
4.923907, -7.034380, 133.077792
4.967381, -7.227323, 132.638325
4.399934, -7.093686, 140.205695
4.256579, -7.707854, 146.785485
5.402634, -7.274939, 152.432630
4.828239, -7.542984, 154.317454
5.048703, -7.312311, 155.997192
5.363061, -7.301891, 149.333171
4.665717, -7.242509, 149.659108
4.730240, -8.098597, 148.766747
